Anemometer;ANEMOMETERS;
ATDnet;LIP > Lightning Instrument Package;
Brewer spectrophotometer;SPECTROMETERS;
Diode array spectrometer;SPECTROMETERS;
Disdrometer;DISDROMETERS;
Disdrometre optique;DISDROMETERS;
Dropsonde;DROPSONDES;
EUCLID;LIP > Lightning Instrument Package;
Humidity sensor;HUMIDITY SENSORS;
K-band rain radar;RADAR > Radio Detection and Ranging;
LINET;LIP > Lightning Instrument Package;
LINET-DLR;LIP > Lightning Instrument Package;
MFRSR;RADIOMETERS;
Micro Rain Radar CNRM;RADAR > Radio Detection and Ranging;
Microwave radiometer;RADIOMETERS;
mini VHF Wind Profiler;RADAR > Radio Detection and Ranging;
Operational Weather Radar AEMET;RADAR > Radio Detection and Ranging;
Operational Weather Radar ARAMIS;RADAR > Radio Detection and Ranging;
Operational Weather Radar ARAMIS ;RADAR > Radio Detection and Ranging;
Operational Weather Radar ARPAA;RADAR > Radio Detection and Ranging;
Operational Weather Radar ARPAF-VG;RADAR > Radio Detection and Ranging;
Operational Weather Radar ARPAP;RADAR > Radio Detection and Ranging;
Operational Weather Radar ARPAS;RADAR > Radio Detection and Ranging;
Operational Weather Radar ARPAV;RADAR > Radio Detection and Ranging;
Operational Weather Radar DPC;RADAR > Radio Detection and Ranging;
Operational Weather Radar ENAV;RADAR > Radio Detection and Ranging;
Operational Weather Radar HNMS;RADAR > Radio Detection and Ranging;
Operational Weather Radar IAFMS;RADAR > Radio Detection and Ranging;
Operational Weather Radar IMS;RADAR > Radio Detection and Ranging;
Operational Weather Radar INMT;RADAR > Radio Detection and Ranging;
Operational Weather Radar METEOCAT;RADAR > Radio Detection and Ranging;
Operational Weather Radar METEOTRENTINO;RADAR > Radio Detection and Ranging;
Operational Weather Radar ONM;RADAR > Radio Detection and Ranging;
Operational Weather Radar SMER;RADAR > Radio Detection and Ranging;
Precipitation gauge;RAIN GAUGES;
radiometer;RADIOMETERS;
Radiosonde;RADIOSONDES;
Radiosounding Station;RADIOSONDES;
RALI;RADAR > Radio Detection and Ranging;
Raman Lidar Aquila;LIDAR > Light Detection and Ranging;
Raman Lidar Lamezia Terme;LIDAR > Light Detection and Ranging;
Raman Lidar Lampeduza;LIDAR > Light Detection and Ranging;
Raman Lidar Lecce;LIDAR > Light Detection and Ranging;
Raman Lidar Napoli;LIDAR > Light Detection and Ranging;
Raman Lidar OHP;LIDAR > Light Detection and Ranging;
Raman Lidar Potenza;LIDAR > Light Detection and Ranging;
Raman Lidar Potenza-Tito scalo;LIDAR > Light Detection and Ranging;
Raman Lidar Roma-Downtown;LIDAR > Light Detection and Ranging;
Raman Lidar Roma-Tor Vergata;LIDAR > Light Detection and Ranging;
Research Weather Radar CNR-ISAC;RADAR > Radio Detection and Ranging;
Scanning cloud radar;RADAR > Radio Detection and Ranging;
Sea temperature hull sensor;TEMPERATURE SENSORS;
Sea temperature sensor;TEMPERATURE SENSORS;
Sea temperature sensor;TEMPERATURE SENSORS;
Sodar;SODAR > Sound Detection and Ranging;
Sonic Anemometer;ANEMOMETERS;
SVP-BS drifting buoy;DRIFTING BUOYS;
SVP-BTC drifting buoy;DRIFTING BUOYS;
SVP-BW drifting buoy;DRIFTING BUOYS;
Thermometer;TEMPERATURE SENSORS;
Thermosalinograph;THERMOSALINOGRAPHS;
ThetaProbe ML2X;SOIL MOISTURE PROBE;
Transportable Atmospheric RAdar (TARA);RADAR > Radio Detection and Ranging;
UHF Wind Profiler;RADAR > Radio Detection and Ranging;
UHF Wind Profiler CNRM;RADAR > Radio Detection and Ranging;
UHOH Rotational Raman Lidar;LIDAR > Light Detection and Ranging;
UHOH X-Band Radar with disdrometer;RADAR > Radio Detection and Ranging;
UHOH Water Vapor DIAL;LIDAR > Light Detection and Ranging;
UV-MFR;RADIOMETERS;
VHF Wind Profiler;RADAR > Radio Detection and Ranging;
VHF Wind Profiler - CNRM;RADAR > Radio Detection and Ranging;
Wind Profiler;RADAR > Radio Detection and Ranging;
Windcube;LIDAR > Light Detection and Ranging;
Wolkenkamera G7;CAMERAS;
